Date,Precipitation,Specific_Humidity,Surface Pressure,Surface_Temperature,Clearness_Index,Radiative_Flux,Radiation
1-1-1986,0.0,0.003804,99.05,11.48,0.68,6.5,3.97
2-1-1986,0.0,0.003457,99.06,12.04,0.76,6.36,4.42
3-1-1986,0.0,0.002902,99.23,9.92,0.73,6.5,4.29
4-1-1986,0.0,0.002433,99.17,9.33,0.72,6.18,4.19
5-1-1986,0.0,0.0026,99.0,9.36,0.75,6.57,4.39
6-1-1986,0.0,0.002723,99.05,10.3,0.67,6.31,3.92
7-1-1986,0.0,0.0028190000000000003,99.2,10.75,0.73,6.55,4.32
8-1-1986,0.0,0.003118,99.12,10.92,0.68,6.59,4.03
9-1-1986,0.0,0.00399,99.2,11.65,0.68,6.66,4.08
10-1-1986,0.0,0.004452,99.21,12.43,0.68,6.6,4.06
11-1-1986,0.0,0.0044,99.01,12.96,0.66,7.07,3.97
12-1-1986,0.34,0.005179,99.16,13.3,0.67,6.86,4.02
13-1-1986,0.05,0.004482,99.35,13.69,0.75,6.66,4.53
14-1-1986,0.58,0.003899,99.26,11.97,0.74,6.6,4.51
15-1-1986,0.0,0.0032939999999999996,99.14,11.69,0.72,6.69,4.41
16-1-1986,0.0,0.003146,99.06,11.08,0.75,6.38,4.65
17-1-1986,0.0,0.003311,98.96,11.34,0.74,6.5,4.61
18-1-1986,0.0,0.00339,99.11,11.97,0.76,6.38,4.74
19-1-1986,0.0,0.003546,99.12,12.21,0.58,7.71,3.65
20-1-1986,0.03,0.003982,99.22,13.15,0.53,8.12,3.31
21-1-1986,0.05,0.0049380000000000005,99.28,14.03,0.68,7.17,4.31
22-1-1986,0.1,0.004765,99.18,15.11,0.67,7.25,4.25
23-1-1986,0.0,0.004765999999999999,99.12,15.48,0.74,7.03,4.72
24-1-1986,0.0,0.0033130000000000004,99.07,12.67,0.73,6.62,4.7
25-1-1986,0.0,0.003404,99.06,12.93,0.65,7.14,4.24
26-1-1986,0.0,0.0039570000000000004,99.11,14.06,0.68,6.84,4.44
27-1-1986,0.0,0.0038439999999999998,99.23,13.85,0.63,7.42,4.17
28-1-1986,0.02,0.004763,99.14,14.2,0.46,8.73,3.06
29-1-1986,25.54,0.007156999999999999,99.09,13.3,0.61,7.85,4.06
30-1-1986,0.59,0.006894,98.93,14.72,0.61,7.73,4.12
31-1-1986,0.0,0.004772,98.83,13.35,0.76,6.59,5.11
1-2-1986,0.16,0.003831,98.75,12.2,0.7,6.47,4.78
2-2-1986,0.0,0.0033590000000000004,98.89,12.57,0.6,7.14,4.1
3-2-1986,0.0,0.0033539999999999998,98.91,13.64,0.37,8.44,2.57
4-2-1986,0.0,0.003782,98.91,14.97,0.62,7.03,4.3
5-2-1986,0.04,0.004226,98.92,15.63,0.61,6.88,4.25
6-2-1986,0.0,0.004452,98.99,14.43,0.65,8.21,4.56
7-2-1986,0.0,0.00428,98.97,15.27,0.76,6.66,5.4
8-2-1986,0.0,0.004144,99.07,15.08,0.77,7.27,5.48
9-2-1986,2.64,0.006599,99.13,12.75,0.14,8.27,0.98
10-2-1986,21.9,0.009506,98.95,14.4,0.28,8.66,2.03
11-2-1986,5.53,0.008643000000000001,99.19,13.79,0.23,8.32,1.69
12-2-1986,0.0,0.007838,98.93,16.16,0.35,8.16,2.56
13-2-1986,0.51,0.00777,98.91,17.34,0.53,8.23,3.94
14-2-1986,1.35,0.008088,98.92,15.42,0.58,8.63,4.28
15-2-1986,0.7,0.005538,98.97,15.02,0.68,6.83,5.09
16-2-1986,0.9,0.004273,98.84,13.49,0.77,6.67,5.84
17-2-1986,0.0,0.004321,98.91,14.67,0.77,6.7,5.84
18-2-1986,0.0,0.005171,99.04,16.99,0.75,7.19,5.76
19-2-1986,0.0,0.005194,98.99,16.46,0.77,7.11,5.96
20-2-1986,0.0,0.005047,98.85,17.81,0.45,9.05,3.47
21-2-1986,0.59,0.0064459999999999995,98.81,17.91,0.16,8.52,1.25
22-2-1986,0.01,0.006375,98.94,16.47,0.61,7.38,4.77
23-2-1986,0.28,0.005372999999999999,98.92,15.44,0.68,6.72,5.38
24-2-1986,0.0,0.0043,98.88,15.46,0.73,7.02,5.82
25-2-1986,0.0,0.0041670000000000006,98.86,15.77,0.77,6.96,6.19
26-2-1986,0.0,0.003783,98.9,15.35,0.76,7.16,6.12
27-2-1986,0.0,0.0038469999999999997,98.75,16.16,0.78,6.84,6.32
28-2-1986,0.0,0.004261,98.71,17.6,0.73,7.31,6.01
1-3-1986,0.0,0.004568,98.78,18.33,0.79,6.96,6.47
2-3-1986,0.0,0.004654999999999999,98.91,18.42,0.62,7.17,5.17
3-3-1986,0.0,0.004219,98.95,18.59,0.6,7.49,5.03
4-3-1986,0.0,0.004688,98.85,20.0,0.53,8.76,4.41
